	Stock	Correlated_Stock	Correlation_Value
149	AKCNS.IS	MGROS.IS	0.984967029413405
150	GARAN.IS	CCOLA.IS	0.9849495688583207
151	ENJSA.IS	KAREL.IS	0.9849491541667976
152	OYAKC.IS	AKCNS.IS	0.9849308756440267
153	AEFES.IS	OTKAR.IS	0.9849102928034691
154	TCELL.IS	AYGAZ.IS	0.9848867869392964
155	KAREL.IS	PETUN.IS	0.984832711011033
156	ENJSA.IS	MGROS.IS	0.9848202950311453
157	TCELL.IS	CCOLA.IS	0.984767772570479
158	TEZOL.IS	AYGAZ.IS	0.9847617986120525
159	TCELL.IS	AGHOL.IS	0.9847145367607798
160	ASELS.IS	KCHOL.IS	0.9846949972964146
161	SISE.IS	ARCLK.IS	0.9846813801297324
162	DOHOL.IS	ALGYO.IS	0.9846413562076406
163	PATEK.IS	LMKDC.IS	0.9845494395885339
164	KCHOL.IS	THYAO.IS	0.9845250594821316
165	SOKM.IS	TTRAK.IS	0.9845138407985303
166	MGROS.IS	TRGYO.IS	0.984483085659019
167	FROTO.IS	SAHOL.IS	0.9844163630973732
168	SAHOL.IS	TRGYO.IS	0.9843519303052681
169	CCOLA.IS	AGHOL.IS	0.9843257631082616
170	DOHOL.IS	ENJSA.IS	0.9843017705075747
171	YKBNK.IS	CCOLA.IS	0.9842780594890063
172	UNLU.IS	BRLSM.IS	0.9842661327501625
173	TUPRS.IS	YKBNK.IS	0.9841717902169739
174	TCELL.IS	TTKOM.IS	0.9841548000327852
175	OTKAR.IS	VERUS.IS	0.9841508752553613
176	GARAN.IS	TCELL.IS	0.9840682257215415
177	TUPRS.IS	MGROS.IS	0.9840249079153186
178	TCELL.IS	YKBNK.IS	0.9840128125833619
179	EUREN.IS	GWIND.IS	0.9839693936319955
180	DOAS.IS	ECILC.IS	0.9839380963114996
181	ECILC.IS	PETUN.IS	0.9838796817975309
182	BOBET.IS	YEOTK.IS	0.9838706038770987
183	BIMAS.IS	KCHOL.IS	0.9838476272528454
184	ISCTR.IS	TCELL.IS	0.9838266586694809
185	SOKM.IS	YEOTK.IS	0.9838028825932758
186	ECILC.IS	AYGAZ.IS	0.983793975289645
187	BIMAS.IS	NATEN.IS	0.9837656170465213
188	OTKAR.IS	RYGYO.IS	0.983756868613578
189	ASELS.IS	TUPRS.IS	0.9836493831764413
190	ISCTR.IS	SAHOL.IS	0.9836096671841004
191	ASELS.IS	AEFES.IS	0.9836071722844097
192	RYGYO.IS	AYGAZ.IS	0.9835931366670766
193	ECILC.IS	PNSUT.IS	0.9835868339694298
194	KONYA.IS	OTKAR.IS	0.9835853405295181
195	AKCNS.IS	NUHCM.IS	0.9835066872123559
196	ISCTR.IS	AYGAZ.IS	0.9834968391535808
197	BOBET.IS	HTTBT.IS	0.9834908154250044
198	PGSUS.IS	TOASO.IS	0.9834766969670923
199	OTKAR.IS	AGHOL.IS	0.9834618897214945
200	KRDMD.IS	ARCLK.IS	0.9834618831967923
201	AKBNK.IS	KCHOL.IS	0.9834342395799291
202	TCELL.IS	TUPRS.IS	0.9834069578680924
203	KAREL.IS	PNSUT.IS	0.983361550315821
204	IPEKE.IS	KOZAA.IS	0.9833478871910272
205	ENJSA.IS	TTRAK.IS	0.9833465206333131
206	PETKM.IS	ALGYO.IS	0.9833285986827307
207	SISE.IS	OZKGY.IS	0.983327125568493
208	BTCIM.IS	TMPOL.IS	0.9833085467289222
209	MGROS.IS	KLKIM.IS	0.9833040853280118
210	ASELS.IS	MAVI.IS	0.9831894703839471
211	SAYAS.IS	YEOTK.IS	0.9831888362352914
212	PGSUS.IS	DOAS.IS	0.9831884052396691
213	BUCIM.IS	ALGYO.IS	0.9831658846403182
214	AEFES.IS	MGROS.IS	0.9831357619689675
215	SAHOL.IS	AGHOL.IS	0.9831160474397435
216	TOASO.IS	ARCLK.IS	0.9831116248187903
217	MAVI.IS	AYGAZ.IS	0.9830948552533834
218	KCHOL.IS	OTKAR.IS	0.9830735191823853
219	KONYA.IS	TRGYO.IS	0.9830717676321725
220	YEOTK.IS	KLKIM.IS	0.9830361069176116
221	BIMAS.IS	GARAN.IS	0.9830205519817743
222	ALARK.IS	ALGYO.IS	0.9830058774380046
223	BFREN.IS	NATEN.IS	0.9829967545692557
224	TCELL.IS	RYGYO.IS	0.9829749531525731
225	FROTO.IS	TOASO.IS	0.9829749514108236
226	INDES.IS	ALGYO.IS	0.98297010746068
227	KCHOL.IS	MGROS.IS	0.9829497210609065
228	OYAKC.IS	BOBET.IS	0.9829281386796596
229	CLEBI.IS	GOLTS.IS	0.9828877447303754
230	PGSUS.IS	AYGAZ.IS	0.9828824905516579
231	TTRAK.IS	AGHOL.IS	0.9828340029521564
232	KLSYN.IS	TEZOL.IS	0.9827989716437664
233	FROTO.IS	KCHOL.IS	0.9827715535085453
234	PNSUT.IS	OZKGY.IS	0.9827465087845246
235	FRIGO.IS	KORDS.IS	0.9827309960415161
236	DOAS.IS	AGHOL.IS	0.9826985393534622
237	ISCTR.IS	CCOLA.IS	0.9826954129159413
238	ASELS.IS	THYAO.IS	0.9826855844843086
239	AKSGY.IS	TRGYO.IS	0.9826474039693235
240	ISCTR.IS	HTTBT.IS	0.9825743001532713
241	ASELS.IS	MGROS.IS	0.9825713639888154
242	BRYAT.IS	DNISI.IS	0.9825313433524067
243	MGROS.IS	EGPRO.IS	0.9825215947948189
244	SAHOL.IS	TUPRS.IS	0.9825091517752053
245	MAVI.IS	OTKAR.IS	0.9824977226179429
246	BIMAS.IS	EGPRO.IS	0.9824973266217414
247	KAYSE.IS	KLSER.IS	0.9824967736837711
248	BUCIM.IS	KNFRT.IS	0.9824867164929187
249	TOASO.IS	DOHOL.IS	0.9824758310456853
250	TLMAN.IS	BRISA.IS	0.9824732489892051
251	BRYAT.IS	OTKAR.IS	0.9824269411548917
252	ECILC.IS	TEZOL.IS	0.982412666190727
253	AKCNS.IS	OTTO.IS	0.9823962408877532
254	EUREN.IS	SMRTG.IS	0.9823823599763106
255	FROTO.IS	DOCO.IS	0.9823747515085055
256	YEOTK.IS	HTTBT.IS	0.9822859626314374
257	MGROS.IS	RYGYO.IS	0.9822790728640096
258	KNFRT.IS	PNSUT.IS	0.9822051414100447
259	BIMAS.IS	TUPRS.IS	0.9821520487363279
260	ASELS.IS	BIMAS.IS	0.9821043287988489
261	GARAN.IS	SAHOL.IS	0.9820637778163699
262	BFREN.IS	VBTYZ.IS	0.9820555084356873
263	ALARK.IS	ECILC.IS	0.9820509905861563
264	TUPRS.IS	DOAS.IS	0.9820482086581516
265	SAYAS.IS	NUHCM.IS	0.9820441254897263
266	SOKM.IS	HTTBT.IS	0.982038678834852
267	ASTOR.IS	SDTTR.IS	0.9820068593682859
268	AKCNS.IS	SAYAS.IS	0.9820030160829795
269	TCELL.IS	MGROS.IS	0.9819773892631918
270	BOBET.IS	MGROS.IS	0.9819747830808077
271	KAREL.IS	BUCIM.IS	0.9819349488117205
272	DOHOL.IS	GSDHO.IS	0.9819064636845707
273	ASELS.IS	NATEN.IS	0.9818489292911244
274	AKCNS.IS	TTRAK.IS	0.9817851770197161
275	KNFRT.IS	ALGYO.IS	0.9817799749722141
276	GARAN.IS	TRGYO.IS	0.9817749233201213
277	AYGAZ.IS	AGHOL.IS	0.9817318954049137
278	TOASO.IS	ECILC.IS	0.9817175292182571
279	ASELS.IS	DOAS.IS	0.9816944856284501
280	ECILC.IS	DGNMO.IS	0.9816824296474885
281	CCOLA.IS	TRGYO.IS	0.98167688475077
282	TCELL.IS	THYAO.IS	0.9816571527055873
283	KONYA.IS	TMPOL.IS	0.9816562101828633
284	INDES.IS	KAREL.IS	0.9816373128903496
285	BFREN.IS	OTKAR.IS	0.9815617236257
286	ASELS.IS	RYGYO.IS	0.9815232174623855
287	PETKM.IS	KORDS.IS	0.9815178574684879
288	ALGYO.IS	OZKGY.IS	0.9814956766826328
289	BRYAT.IS	KONYA.IS	0.9814765052395084
290	ULUUN.IS	ALKA.IS	0.9813753632380697
291	DOAS.IS	OTKAR.IS	0.9813344991331385
292	ALARK.IS	ALMAD.IS	0.98129515687713
293	ENJSA.IS	PETUN.IS	0.9812760597455612
294	CWENE.IS	PASEU.IS	0.9812709559674615
295	SDTTR.IS	ONCSM.IS	0.9812681580529924
296	AKCNS.IS	HTTBT.IS	0.981230901315832
297	MAVI.IS	EGPRO.IS	0.9812084607308774
298	SISE.IS	KORDS.IS	0.9811872470050543
299	PETUN.IS	GSDHO.IS	0.9811581862539401
300	ALKA.IS	MEDTR.IS	0.981134702587305
301	ASELS.IS	ISCTR.IS	0.9811249280195949
302	SISE.IS	GSDHO.IS	0.9811088182418192
303	BUCIM.IS	PETUN.IS	0.9810954868937394
304	DOAS.IS	RYGYO.IS	0.9810831410395291
305	ARDYZ.IS	KFEIN.IS	0.9810671214115898
306	CCOLA.IS	DNISI.IS	0.9810614384040016
307	YKBNK.IS	GOLTS.IS	0.9810519948247931
308	FROTO.IS	PGSUS.IS	0.9810292799829957
309	KONYA.IS	NATEN.IS	0.9810019045681786
310	ENJSA.IS	AGHOL.IS	0.9810011578553134
311	BIMAS.IS	BRYAT.IS	0.9809806489635947
312	CCOLA.IS	LKMNH.IS	0.9809366352115289
313	KCHOL.IS	RYGYO.IS	0.9808319332187275
314	MGROS.IS	YEOTK.IS	0.9808188512797682
315	ARCLK.IS	DOHOL.IS	0.980805881596169
316	TUPRS.IS	RYGYO.IS	0.9807967597091473
317	ISCTR.IS	OTKAR.IS	0.9807688306703085
318	ENJSA.IS	VERUS.IS	0.9807603248793141
319	KONKA.IS	MEDTR.IS	0.9807514475007595
320	OTKAR.IS	SOKM.IS	0.9807181731035156
321	CWENE.IS	FORTE.IS	0.9807147244031119
322	PRKME.IS	KAREL.IS	0.9806922639285627
323	BRYAT.IS	MGROS.IS	0.9806571127232591
324	NUHCM.IS	USAK.IS	0.9806513943518222
325	OYAKC.IS	KLKIM.IS	0.980649239514304
326	CCOLA.IS	EGPRO.IS	0.9806113712832477
327	DOAS.IS	TTRAK.IS	0.9805397576671776
328	ALCTL.IS	PETUN.IS	0.9805310341432459
329	ECZYT.IS	KAREL.IS	0.9805299246054023
330	ISMEN.IS	OTTO.IS	0.9805164527640085
331	BOBET.IS	ISMEN.IS	0.9805155539529878
332	VERUS.IS	NATEN.IS	0.9805108080444611
333	SAHOL.IS	CCOLA.IS	0.9805066032342069
334	PGSUS.IS	SAHOL.IS	0.9804214114761689
335	KCHOL.IS	TTRAK.IS	0.9803785910815588
336	THYAO.IS	TUPRS.IS	0.9803760643144366
337	BOBET.IS	TTRAK.IS	0.9803606917529795
338	YKBNK.IS	CLEBI.IS	0.9803337117229591
339	PRKME.IS	ALGYO.IS	0.9803120466226303
340	KNFRT.IS	PETUN.IS	0.9802807768288769
341	FROTO.IS	THYAO.IS	0.980237251264476
